Scenario,Safety,Efficiency,Comfort,Total,Note
vae_wgan_sample_1954,50.0,5.25,19.96,75.21,
vae_wgan_sample_1955,50.0,6.45,19.96,76.41,
vae_wgan_sample_1956,50.0,19.58,19.96,89.54,
vae_wgan_sample_1957,50.0,4.39,19.96,74.35,
vae_wgan_sample_1958,50.0,4.65,19.92,74.57,
vae_wgan_sample_1959,50.0,2.89,17.56,70.45,
vae_wgan_sample_195,50.0,4.7,19.96,74.66,
vae_wgan_sample_1960,50.0,6.77,19.96,76.73,
vae_wgan_sample_1961,50.0,19.73,19.92,89.65,
vae_wgan_sample_1962,50.0,4.55,19.92,74.47,
vae_wgan_sample_1963,50.0,6.01,19.96,75.97,
vae_wgan_sample_1964,50.0,19.87,19.96,89.83,
vae_wgan_sample_1965,50.0,20.83,19.96,90.79,
vae_wgan_sample_1966,50.0,19.96,19.96,89.92,
vae_wgan_sample_1967,50.0,6.3,19.96,76.26,
vae_wgan_sample_1968,50.0,20.23,19.92,90.15,
vae_wgan_sample_1969,50.0,19.47,19.96,89.43,
vae_wgan_sample_196,50.0,20.38,19.92,90.3,
vae_wgan_sample_1970,50.0,20.46,19.96,90.42,
vae_wgan_sample_1971,50.0,5.05,19.96,75.01,
vae_wgan_sample_1972,50.0,20.24,19.92,90.16,
vae_wgan_sample_1973,50.0,19.37,19.96,89.33,
vae_wgan_sample_1974,50.0,19.94,19.96,89.9,
vae_wgan_sample_1975,50.0,19.64,19.96,89.6,
vae_wgan_sample_1976,50.0,5.18,19.96,75.14,
vae_wgan_sample_1977,50.0,4.81,19.96,74.77,
vae_wgan_sample_1978,50.0,19.03,19.96,88.99,
vae_wgan_sample_1979,50.0,5.11,19.96,75.07,
vae_wgan_sample_197,50.0,5.13,19.96,75.09,
vae_wgan_sample_1980,50.0,20.41,19.96,90.37,
vae_wgan_sample_1981,50.0,20.41,19.96,90.37,
vae_wgan_sample_1982,50.0,3.33,19.88,73.21,
vae_wgan_sample_1983,50.0,20.35,19.96,90.31,
vae_wgan_sample_1984,50.0,4.08,19.32,73.4,
vae_wgan_sample_1985,50.0,19.32,19.96,89.28,
vae_wgan_sample_1986,50.0,15.73,19.92,85.65,
vae_wgan_sample_1987,50.0,6.1,19.96,76.06,
vae_wgan_sample_1988,25.2,3.92,19.92,49.04,
vae_wgan_sample_1989,50.0,19.89,19.96,89.85,
vae_wgan_sample_198,50.0,4.93,19.96,74.89,
vae_wgan_sample_1990,50.0,4.58,19.96,74.54,
vae_wgan_sample_1991,50.0,4.72,19.96,74.68,
vae_wgan_sample_1992,50.0,20.22,19.96,90.18,
vae_wgan_sample_1993,50.0,6.51,19.96,76.47,
vae_wgan_sample_1994,50.0,5.19,19.96,75.15,
vae_wgan_sample_1995,50.0,19.53,19.92,89.45,
vae_wgan_sample_1996,50.0,20.05,19.96,90.01,
vae_wgan_sample_1997,50.0,19.62,19.96,89.58,
vae_wgan_sample_1998,50.0,19.33,19.96,89.29,
vae_wgan_sample_1999,50.0,19.39,19.96,89.35,
vae_wgan_sample_199,50.0,4.83,19.96,74.79,
vae_wgan_sample_19,50.0,4.91,19.92,74.83,
vae_wgan_sample_1,50.0,5.25,19.96,75.21,
vae_wgan_sample_2000,50.0,4.6,19.96,74.56,
vae_wgan_sample_2001,50.0,21.05,19.96,91.01,
vae_wgan_sample_2002,50.0,19.35,19.96,89.31,
vae_wgan_sample_2003,50.0,20.18,19.96,90.14,
vae_wgan_sample_2004,50.0,19.91,19.96,89.87,
vae_wgan_sample_2005,50.0,19.55,19.96,89.51,
vae_wgan_sample_2006,50.0,19.02,19.96,88.98,
vae_wgan_sample_2007,50.0,4.67,19.96,74.63,
vae_wgan_sample_2008,50.0,5.55,19.8,75.35,
vae_wgan_sample_2009,50.0,20.05,19.96,90.01,
vae_wgan_sample_200,50.0,5.25,19.96,75.21,
vae_wgan_sample_2010,50.0,5.24,19.96,75.2,
vae_wgan_sample_2011,50.0,20.51,19.96,90.47,
vae_wgan_sample_2012,50.0,20.76,19.96,90.72,
vae_wgan_sample_2013,50.0,19.78,19.92,89.7,
vae_wgan_sample_2014,50.0,4.86,19.96,74.82,
vae_wgan_sample_2015,50.0,4.85,19.96,74.81,
vae_wgan_sample_2016,50.0,5.41,19.96,75.37,
vae_wgan_sample_2017,50.0,19.52,19.96,89.48,
vae_wgan_sample_2018,50.0,19.9,19.96,89.86,
vae_wgan_sample_2019,50.0,19.58,19.92,89.5,
vae_wgan_sample_201,50.0,19.97,19.96,89.93,
vae_wgan_sample_2020,50.0,5.11,19.96,75.07,
vae_wgan_sample_2021,50.0,19.98,19.96,89.94,
vae_wgan_sample_2022,50.0,4.66,19.96,74.62,
vae_wgan_sample_2023,50.0,20.72,19.76,90.48,
vae_wgan_sample_2024,50.0,4.45,19.92,74.37,
vae_wgan_sample_2025,50.0,4.25,19.92,74.17,
vae_wgan_sample_2026,50.0,5.16,19.96,75.12,
vae_wgan_sample_2027,50.0,4.6,19.96,74.56,
vae_wgan_sample_2028,50.0,5.58,19.92,75.5,
vae_wgan_sample_2029,50.0,5.77,19.88,75.65,
vae_wgan_sample_202,50.0,19.64,19.92,89.56,
vae_wgan_sample_2030,50.0,19.89,19.96,89.85,
vae_wgan_sample_2031,50.0,6.42,19.96,76.38,
vae_wgan_sample_2032,50.0,2.68,19.84,72.52,
vae_wgan_sample_2033,50.0,6.29,19.04,75.33,
vae_wgan_sample_2034,50.0,19.59,19.92,89.51,
vae_wgan_sample_2035,50.0,5.01,19.96,74.97,
vae_wgan_sample_2036,50.0,6.06,19.96,76.02,
vae_wgan_sample_2037,50.0,4.88,19.96,74.84,
vae_wgan_sample_2038,50.0,20.53,19.96,90.49,
vae_wgan_sample_2039,50.0,20.48,19.96,90.44,
vae_wgan_sample_203,50.0,4.81,19.92,74.73,
vae_wgan_sample_2040,50.0,2.77,19.92,72.69,
vae_wgan_sample_2041,50.0,19.18,19.92,89.1,
vae_wgan_sample_2042,50.0,3.63,19.64,73.27,
vae_wgan_sample_2043,50.0,20.58,19.96,90.54,
vae_wgan_sample_2044,50.0,19.91,19.96,89.87,
vae_wgan_sample_2045,50.0,4.49,18.88,73.37,
vae_wgan_sample_2046,50.0,4.62,19.96,74.58,
vae_wgan_sample_2047,50.0,21.2,19.96,91.16,
vae_wgan_sample_2048,50.0,20.94,19.96,90.9,
vae_wgan_sample_2049,50.0,4.38,19.92,74.3,
vae_wgan_sample_204,50.0,5.24,19.92,75.16,
vae_wgan_sample_2050,50.0,19.42,19.88,89.3,
vae_wgan_sample_2051,50.0,5.65,19.92,75.57,
vae_wgan_sample_2052,50.0,19.35,19.92,89.27,
vae_wgan_sample_2053,50.0,4.68,19.96,74.64,
vae_wgan_sample_2054,50.0,19.54,19.92,89.46,
vae_wgan_sample_2055,32.8,4.49,19.92,57.21,
vae_wgan_sample_2056,50.0,4.29,19.88,74.17,
vae_wgan_sample_2057,50.0,5.93,19.96,75.89,
vae_wgan_sample_2058,50.0,5.5,19.72,75.22,
vae_wgan_sample_2059,39.2,3.63,19.92,62.75,
vae_wgan_sample_205,50.0,5.17,20,75.17,
vae_wgan_sample_2060,50.0,4.9,19.88,74.78,
vae_wgan_sample_2061,50.0,5.57,19.96,75.53,
vae_wgan_sample_2062,50.0,19.65,19.96,89.61,
vae_wgan_sample_2063,50.0,4.94,19.96,74.9,
vae_wgan_sample_2064,50.0,19.76,19.96,89.72,
vae_wgan_sample_2065,50.0,19.76,19.92,89.68,
vae_wgan_sample_2066,50.0,19.66,19.96,89.62,
vae_wgan_sample_2067,50.0,4.79,19.96,74.75,
vae_wgan_sample_2068,50.0,4.85,19.96,74.81,
vae_wgan_sample_2069,50.0,19.83,19.96,89.79,
vae_wgan_sample_206,50.0,19.43,19.92,89.35,
vae_wgan_sample_2070,50.0,20.97,19.96,90.93,
vae_wgan_sample_2071,50.0,4.47,19.96,74.43,
vae_wgan_sample_2072,50.0,2.33,19.96,72.29,
vae_wgan_sample_2073,50.0,5.49,19.96,75.45,
vae_wgan_sample_2074,50.0,4.67,19.96,74.63,
vae_wgan_sample_2075,50.0,19.69,19.92,89.61,
vae_wgan_sample_2076,50.0,21.06,19.96,91.02,
vae_wgan_sample_2077,50.0,6.55,19.96,76.51,
vae_wgan_sample_2078,50.0,4.63,19.96,74.59,
vae_wgan_sample_2079,50.0,19.56,19.92,89.48,
vae_wgan_sample_207,50.0,20.89,19.96,90.85,
vae_wgan_sample_2080,50.0,4.84,19.96,74.8,
vae_wgan_sample_2081,50.0,20.21,19.92,90.13,
vae_wgan_sample_2082,50.0,19.74,19.96,89.7,
vae_wgan_sample_2083,50.0,4.48,19.96,74.44,
vae_wgan_sample_2084,50.0,4.95,19.96,74.91,
vae_wgan_sample_2085,50.0,5.14,19.92,75.06,
vae_wgan_sample_2086,50.0,4.2,19.96,74.16,
vae_wgan_sample_2087,50.0,5.23,19.96,75.19,
vae_wgan_sample_2088,50.0,4.75,19.96,74.71,
vae_wgan_sample_2089,50.0,19.38,19.92,89.3,
vae_wgan_sample_208,50.0,6.52,19.96,76.48,
vae_wgan_sample_2090,50.0,19.3,19.92,89.22,
vae_wgan_sample_2091,50.0,5.75,19.28,75.03,
vae_wgan_sample_2092,50.0,19.76,19.92,89.68,
vae_wgan_sample_2093,50.0,19.88,19.92,89.8,
vae_wgan_sample_2094,50.0,19.69,19.92,89.61,
vae_wgan_sample_2095,50.0,5.23,19.96,75.19,
vae_wgan_sample_2096,50.0,5.93,19.6,75.53,
vae_wgan_sample_2097,50.0,20.67,19.96,90.63,
vae_wgan_sample_2098,50.0,4.64,19.96,74.6,
vae_wgan_sample_2099,50.0,5.26,19.92,75.18,
vae_wgan_sample_209,50.0,0.86,19.92,70.78,
vae_wgan_sample_20,50.0,4.56,19.96,74.52,
vae_wgan_sample_2100,50.0,4.75,19.96,74.71,
vae_wgan_sample_2101,50.0,3.91,19.88,73.79,
vae_wgan_sample_2102,50.0,19.57,19.96,89.53,
vae_wgan_sample_2103,50.0,4.77,19.92,74.69,
vae_wgan_sample_2104,50.0,4.72,19.96,74.68,
vae_wgan_sample_2105,50.0,20.62,19.96,90.58,
vae_wgan_sample_2106,49.2,4.82,19.96,73.98,
vae_wgan_sample_2107,50.0,19.74,19.96,89.7,
vae_wgan_sample_2108,50.0,4.21,19.96,74.17,
vae_wgan_sample_2109,50.0,3.0,19.92,72.92,
vae_wgan_sample_210,50.0,2.85,18.52,71.37,
vae_wgan_sample_2110,50.0,5.47,19.96,75.43,
vae_wgan_sample_2111,50.0,5.88,19.96,75.84,
vae_wgan_sample_2112,50.0,19.28,19.96,89.24,
vae_wgan_sample_2113,50.0,5.37,19.96,75.33,
vae_wgan_sample_2114,50.0,4.98,19.96,74.94,
vae_wgan_sample_2115,50.0,5.02,19.56,74.58,
vae_wgan_sample_2116,50.0,5.43,19.96,75.39,
vae_wgan_sample_2117,50.0,19.53,19.96,89.49,
vae_wgan_sample_2118,50.0,3.54,19.96,73.5,
vae_wgan_sample_2119,50.0,6.88,20,76.88,
vae_wgan_sample_211,50.0,20.14,19.96,90.1,
vae_wgan_sample_2120,50.0,4.73,19.96,74.69,
vae_wgan_sample_2121,50.0,2.52,19.96,72.48,
vae_wgan_sample_2122,50.0,4.86,19.96,74.82,
vae_wgan_sample_2123,50.0,20.03,19.96,89.99,
vae_wgan_sample_2124,50.0,19.92,19.96,89.88,
vae_wgan_sample_2125,50.0,19.81,19.92,89.73,
vae_wgan_sample_2126,50.0,20.21,19.96,90.17,
vae_wgan_sample_2127,50.0,21.56,19.92,91.48,
vae_wgan_sample_2128,50.0,4.82,19.92,74.74,
vae_wgan_sample_2129,50.0,5.17,19.96,75.13,
vae_wgan_sample_212,50.0,19.96,19.96,89.92,
vae_wgan_sample_2130,50.0,19.78,19.96,89.74,
vae_wgan_sample_2131,50.0,4.47,19.96,74.43,
vae_wgan_sample_2132,50.0,19.83,19.92,89.75,
vae_wgan_sample_2133,50.0,19.86,19.96,89.82,
vae_wgan_sample_2134,50.0,21.3,19.96,91.26,
vae_wgan_sample_2135,50.0,5.75,19.96,75.71,
vae_wgan_sample_2136,50.0,4.23,19.92,74.15,
vae_wgan_sample_2137,50.0,19.59,19.96,89.55,
vae_wgan_sample_2138,50.0,4.79,19.96,74.75,
vae_wgan_sample_2139,50.0,4.79,19.96,74.75,
vae_wgan_sample_213,50.0,3.7,19.96,73.66,
vae_wgan_sample_2140,50.0,19.83,19.96,89.79,
vae_wgan_sample_2141,50.0,4.76,19.96,74.72,
vae_wgan_sample_2142,50.0,20.08,19.96,90.04,
vae_wgan_sample_2143,50.0,19.88,19.96,89.84,
vae_wgan_sample_2144,50.0,20.22,19.96,90.18,
vae_wgan_sample_2145,50.0,2.74,17.8,70.54,
vae_wgan_sample_2146,50.0,20.95,19.96,90.91,
vae_wgan_sample_2147,50.0,21.16,19.92,91.08,
vae_wgan_sample_2148,50.0,5.32,19.96,75.28,
vae_wgan_sample_2149,50.0,4.95,19.92,74.87,
vae_wgan_sample_214,50.0,4.72,19.96,74.68,
vae_wgan_sample_2150,50.0,20.75,19.96,90.71,
vae_wgan_sample_2151,50.0,4.53,20,74.53,
