Scenario,Safety,Efficiency,Comfort,Total,Note
vae_wgan_sample_2007,50.0,20.89,19.68,90.57,
vae_wgan_sample_2008,50.0,19.82,19.96,89.78,
vae_wgan_sample_2009,50.0,19.89,19.92,89.81,
vae_wgan_sample_200,50.0,7.28,19.84,77.12,
vae_wgan_sample_2010,50.0,19.77,19.92,89.69,
vae_wgan_sample_2011,50.0,19.62,20,89.62,
vae_wgan_sample_2012,50.0,21.27,19.92,91.19,
vae_wgan_sample_2013,50.0,19.57,19.96,89.53,
vae_wgan_sample_2014,50.0,5.34,19.08,74.42,
vae_wgan_sample_2015,50.0,5.39,19.56,74.95,
vae_wgan_sample_2016,50.0,17.25,19.92,87.17,
vae_wgan_sample_2017,50.0,21.05,19.92,90.97,
vae_wgan_sample_2018,50.0,20.12,19.96,90.08,
vae_wgan_sample_2019,50.0,5.11,19.96,75.07,
vae_wgan_sample_201,50.0,5.36,19.92,75.28,
vae_wgan_sample_2020,50.0,20.31,19.92,90.23,
vae_wgan_sample_2021,50.0,19.06,19.96,89.02,
vae_wgan_sample_2022,50.0,4.61,19.96,74.57,
vae_wgan_sample_2023,50.0,6.09,19.84,75.93,
vae_wgan_sample_2024,50.0,5.68,19.4,75.08,
vae_wgan_sample_2025,50.0,4.78,19.92,74.7,
vae_wgan_sample_2026,50.0,19.81,19.92,89.73,
vae_wgan_sample_2027,50.0,4.88,19.96,74.84,
vae_wgan_sample_2028,50.0,20.82,19.96,90.78,
vae_wgan_sample_2029,50.0,19.73,18.52,88.25,
vae_wgan_sample_202,50.0,4.45,20,74.45,
vae_wgan_sample_2030,50.0,20.32,19.96,90.28,
vae_wgan_sample_2031,50.0,4.93,19.96,74.89,
vae_wgan_sample_2032,50.0,21.16,19.96,91.12,
vae_wgan_sample_2033,50.0,5.7,19.96,75.66,
vae_wgan_sample_2034,50.0,3.68,19.92,73.6,
vae_wgan_sample_2035,50.0,20.26,19.96,90.22,
vae_wgan_sample_2036,50.0,19.99,19.96,89.95,
vae_wgan_sample_2037,50.0,19.78,19.96,89.74,
vae_wgan_sample_2038,50.0,5.55,19.6,75.15,
vae_wgan_sample_2039,50.0,21.05,19.96,91.01,
vae_wgan_sample_203,50.0,20.01,19.92,89.93,
vae_wgan_sample_2040,50.0,21.05,19.92,90.97,
vae_wgan_sample_2041,50.0,6.11,19.92,76.03,
vae_wgan_sample_2042,50.0,20.05,19.96,90.01,
vae_wgan_sample_2043,50.0,20.14,19.96,90.1,
vae_wgan_sample_2044,50.0,18.65,19.92,88.57,
vae_wgan_sample_2045,50.0,4.7,19.96,74.66,
vae_wgan_sample_2046,50.0,5.24,19.68,74.92,
vae_wgan_sample_2047,50.0,5.39,19.76,75.15,
vae_wgan_sample_2048,50.0,19.92,19.92,89.84,
vae_wgan_sample_2049,50.0,20.06,19.96,90.02,
vae_wgan_sample_204,50.0,19.41,19.92,89.33,
vae_wgan_sample_2050,50.0,20.83,19.92,90.75,
vae_wgan_sample_2051,50.0,6.19,19.96,76.15,
vae_wgan_sample_2052,50.0,5.05,18.76,73.81,
vae_wgan_sample_2053,50.0,5.76,19.96,75.72,
vae_wgan_sample_2054,50.0,20.19,19.92,90.11,
vae_wgan_sample_2055,50.0,5.4,19.0,74.4,
vae_wgan_sample_2056,50.0,20.34,19.88,90.22,
vae_wgan_sample_2057,50.0,5.16,19.96,75.12,
vae_wgan_sample_2058,50.0,5.1,19.92,75.02,
vae_wgan_sample_2059,50.0,1.51,19.88,71.39,
vae_wgan_sample_205,50.0,20.54,19.96,90.5,
vae_wgan_sample_2060,50.0,5.27,19.96,75.23,
vae_wgan_sample_2061,50.0,19.49,19.52,89.01,
vae_wgan_sample_2062,50.0,6.4,19.96,76.36,
vae_wgan_sample_2063,50.0,5.17,19.92,75.09,
vae_wgan_sample_2064,50.0,2.72,19.84,72.56,
vae_wgan_sample_2065,50.0,16.18,20,86.18,
vae_wgan_sample_2066,50.0,20.06,19.28,89.34,
vae_wgan_sample_2067,50.0,6.06,19.92,75.98,
vae_wgan_sample_2068,50.0,18.77,19.96,88.73,
vae_wgan_sample_2069,50.0,3.36,19.88,73.24,
vae_wgan_sample_206,50.0,5.16,19.92,75.08,
vae_wgan_sample_2070,50.0,19.98,19.96,89.94,
vae_wgan_sample_2071,50.0,4.74,19.96,74.7,
vae_wgan_sample_2072,50.0,20.87,19.92,90.79,
vae_wgan_sample_2073,50.0,20.16,19.96,90.12,
vae_wgan_sample_2074,0.0,5.45,19.83,25.28,
vae_wgan_sample_2075,50.0,4.63,19.96,74.59,
vae_wgan_sample_2076,50.0,21.32,19.96,91.28,
vae_wgan_sample_2077,50.0,21.06,19.92,90.98,
vae_wgan_sample_2078,50.0,20.59,19.96,90.55,
vae_wgan_sample_2079,50.0,4.7,19.52,74.22,
vae_wgan_sample_207,50.0,19.63,19.96,89.59,
vae_wgan_sample_2080,50.0,5.46,19.92,75.38,
vae_wgan_sample_2081,50.0,18.71,19.96,88.67,
vae_wgan_sample_2082,50.0,20.59,19.96,90.55,
vae_wgan_sample_2083,50.0,20.45,19.6,90.05,
vae_wgan_sample_2084,50.0,5.0,19.96,74.96,
vae_wgan_sample_2085,50.0,5.95,19.96,75.91,
vae_wgan_sample_2086,50.0,4.81,19.96,74.77,
vae_wgan_sample_2087,50.0,6.94,20,76.94,
vae_wgan_sample_2088,50.0,4.87,19.92,74.79,
vae_wgan_sample_2089,50.0,21.63,19.96,91.59,
vae_wgan_sample_208,50.0,6.68,19.96,76.64,
vae_wgan_sample_2090,50.0,3.07,19.92,72.99,
vae_wgan_sample_2091,50.0,4.88,18.96,73.84,
vae_wgan_sample_2092,50.0,20.36,19.96,90.32,
vae_wgan_sample_2093,50.0,19.84,19.96,89.8,
vae_wgan_sample_2094,50.0,18.51,19.96,88.47,
vae_wgan_sample_2095,50.0,19.59,19.92,89.51,
vae_wgan_sample_2096,50.0,5.33,19.96,75.29,
vae_wgan_sample_2097,50.0,19.88,19.96,89.84,
vae_wgan_sample_2098,50.0,6.93,20,76.93,
vae_wgan_sample_2099,50.0,5.1,18.32,73.42,
vae_wgan_sample_209,50.0,21.07,20,91.07,
vae_wgan_sample_20,50.0,20.85,19.96,90.81,
vae_wgan_sample_2100,50.0,5.16,19.92,75.08,
vae_wgan_sample_2101,50.0,5.58,20,75.58,
vae_wgan_sample_2102,50.0,4.82,19.96,74.78,
vae_wgan_sample_2103,50.0,6.03,19.92,75.95,
vae_wgan_sample_2104,50.0,20.04,19.96,90.0,
vae_wgan_sample_2105,50.0,20.03,19.92,89.95,
